iter	RMSE
0	1.62288843
1	1.5972101
2	1.57510455
3	1.551802544
4	1.5328656
5	1.513076109
6	1.496818694
7	1.481292129
8	1.469748915
9	1.457904428
10	1.446974101
11	1.435470593
12	1.426864415
13	1.418285806
14	1.411305036
15	1.404880456
16	1.398961173
17	1.397551912
18	1.396330504
19	1.389425537
20	1.384983441
21	1.383584695
22	1.3825451
23	1.381516222
24	1.377007695
25	1.376045042
26	1.375282328
27	1.374386529
28	1.373512292
29	1.372383006
30	1.371581051
31	1.370386421
32	1.363860791
33	1.363110841
34	1.358338342
35	1.357621881
36	1.354519029
37	1.353799613
38	1.348372613
39	1.347733026
40	1.346969855
41	1.346384138
42	1.345650181
43	1.344728627
44	1.344323849
45	1.339227775
46	1.338572123
47	1.337952579
48	1.333920762
49	1.329675099
50	1.329070823
51	1.328392011
52	1.327990636
53	1.327483339
54	1.321600635
55	1.318889697
56	1.315738744
57	1.31514159
58	1.314655303
59	1.314196445
60	1.313739378
61	1.313261424
62	1.312876594
63	1.31251988
64	1.30961555
65	1.309298055
66	1.307970722
67	1.304596738
68	1.303472437
69	1.3017444
70	1.301264743
71	1.300811957
72	1.300455487
73	1.300059518
74	1.299541148
75	1.297118385
76	1.295283858
77	1.29170378
78	1.291277316
79	1.288574243
80	1.288068238
81	1.28773451
82	1.287162066
83	1.28629786
84	1.285984346
85	1.284012376
86	1.283700012
87	1.282765021
88	1.282243293
89	1.281904754
90	1.280725459
91	1.280485797
92	1.280196194
93	1.278077932
94	1.277664743
95	1.276192311
96	1.275861311
97	1.27427114
98	1.273132463
99	1.271381107
100	1.27107501
101	1.270718187
102	1.270275467
103	1.269859909
104	1.269504316
105	1.268178991
106	1.265793881
107	1.26546315
108	1.264432225
109	1.263773542
110	1.263523029
111	1.263017006
112	1.2626809
113	1.26247409
114	1.262145192
115	1.261910983
116	1.260907621
117	1.25950127
118	1.259247077
119	1.258939614
120	1.258729744
121	1.258470194
122	1.257693177
123	1.25554724
124	1.255317373
125	1.255005711
126	1.254748582
127	1.254498672
128	1.253114807
129	1.252845708
130	1.252604305
131	1.25174792
132	1.251465453
133	1.251265152
134	1.251091549
135	1.250356177
136	1.247965914
137	1.247610696
138	1.247361342
139	1.247091253
140	1.246746403
141	1.245037555
142	1.244591306
143	1.24434046
144	1.244045104
145	1.2438115
146	1.243554715
147	1.242267649
148	1.242014164
149	1.240658046
150	1.238590625
151	1.23825902
152	1.237299851
153	1.236933003
154	1.236523231
155	1.236153808
156	1.235806033
157	1.235121766
158	1.23353205
159	1.23321268
160	1.232855236
161	1.232585245
162	1.232167616
163	1.231852327
164	1.231566269
165	1.231228745
166	1.229881434
167	1.229269462
168	1.228943033
169	1.228538892
170	1.22669005
171	1.2263608
172	1.226066204
173	1.225780429
174	1.22469333
175	1.224405155
176	1.223397218
177	1.223081188
178	1.222240463
179	1.220642552
180	1.220331088
181	1.21871399
182	1.218304902
183	1.217873537
184	1.217582575
185	1.217288811
186	1.216874616
187	1.215945099
188	1.215661365
189	1.214637902
190	1.214150581
191	1.213867083
192	1.213522972
193	1.212334391
194	1.211541192
195	1.211264667
196	1.210634261
