iter	Passed	Remaining
0	14	14637
1	24	12044
2	35	11791
3	48	12163
4	59	11912
5	68	11411
6	77	11031
7	87	10799
8	96	10597
9	105	10432
10	115	10357
11	124	10254
12	134	10227
13	143	10136
14	153	10070
15	162	10005
16	171	9909
17	180	9825
18	188	9744
19	197	9676
20	206	9604
21	215	9561
22	225	9571
23	233	9513
24	243	9479
25	252	9449
26	260	9395
27	269	9352
28	277	9305
29	286	9277
30	295	9244
31	305	9236
32	315	9250
33	324	9217
34	333	9181
35	342	9159
36	351	9140
37	360	9120
38	369	9095
39	377	9065
40	386	9042
41	395	9023
42	404	9001
43	414	9008
44	423	8988
45	433	8995
46	443	8995
47	453	8988
48	462	8975
49	471	8953
50	479	8929
51	488	8907
52	497	8894
53	506	8879
54	515	8857
55	524	8839
56	533	8819
57	542	8817
58	551	8801
59	561	8789
60	569	8771
61	579	8764
62	588	8753
63	597	8744
64	607	8736
65	616	8719
66	625	8703
67	633	8686
68	642	8667
69	651	8649
70	661	8650
71	669	8634
72	678	8620
73	687	8605
74	696	8592
75	705	8578
76	714	8565
77	723	8550
78	732	8539
79	742	8541
80	751	8526
81	760	8512
82	769	8497
83	777	8482
84	786	8471
85	796	8460
86	805	8447
87	814	8437
88	822	8423
89	831	8411
90	840	8399
91	849	8382
92	858	8369
93	866	8354
94	877	8354
95	887	8354
96	895	8339
97	904	8324
98	913	8314
99	923	8310
100	931	8295
101	941	8288
102	950	8277
103	959	8265
104	968	8254
105	977	8241
106	986	8229
107	994	8215
108	1003	8203
109	1012	8191
110	1021	8178
111	1029	8165
112	1038	8153
113	1048	8150
114	1057	8139
115	1066	8128
116	1076	8122
117	1085	8111
118	1094	8102
119	1103	8091
120	1112	8082
121	1121	8072
122	1130	8062
123	1139	8050
124	1148	8040
125	1157	8029
126	1166	8016
127	1174	8004
128	1184	7995
129	1193	7984
130	1202	7979
131	1211	7968
132	1220	7958
133	1229	7946
134	1238	7934
135	1247	7925
136	1256	7915
137	1265	7902
138	1274	7893
139	1285	7897
140	1294	7886
141	1303	7875
142	1312	7863
143	1322	7861
144	1331	7849
145	1339	7837
146	1348	7825
147	1357	7814
148	1366	7803
149	1374	7790
150	1383	7779
151	1392	7768
152	1402	7764
153	1411	7755
154	1420	7745
155	1429	7734
156	1438	7722
157	1447	7712
158	1456	7701
159	1467	7704
160	1476	7693
161	1485	7681
162	1494	7672
163	1503	7665
164	1512	7653
165	1521	7642
166	1531	7637
167	1540	7626
168	1548	7616
169	1559	7611
170	1567	7598
171	1577	7593
172	1586	7583
173	1595	7572
174	1604	7561
175	1613	7555
176	1622	7542
177	1631	7536
178	1640	7526
179	1649	7515
180	1658	7505
181	1668	7499
182	1677	7487
183	1686	7477
184	1694	7465
185	1703	7455
186	1712	7444
187	1721	7433
188	1729	7422
189	1738	7410
190	1747	7399
191	1755	7389
192	1765	7380
193	1774	7371
194	1782	7360
195	1791	7350
196	1800	7340
197	1809	7330
198	1821	7330
199	1829	7319
200	1838	7308
201	1847	7298
202	1856	7290
203	1867	7285
204	1876	7275
205	1885	7269
206	1894	7258
207	1903	7247
208	1912	7239
209	1922	7231
210	1931	7223
211	1940	7213
212	1949	7203
213	1958	7193
214	1967	7183
215	1975	7172
216	1984	7160
217	1993	7149
218	2001	7139
219	2010	7128
220	2019	7117
221	2027	7107
222	2036	7097
223	2045	7087
224	2054	7077
225	2063	7066
226	2072	7056
227	2081	7046
228	2091	7041
229	2100	7030
230	2110	7024
231	2119	7014
232	2129	7008
233	2138	6998
234	2147	6990
235	2156	6980
236	2165	6970
237	2173	6959
238	2182	6949
239	2192	6941
240	2202	6935
241	2210	6925
242	2220	6915
243	2228	6905
244	2237	6896
245	2247	6889
246	2256	6880
247	2265	6870
248	2276	6867
249	2285	6857
250	2295	6851
251	2304	6841
252	2313	6830
253	2322	6820
254	2331	6811
255	2340	6802
256	2349	6792
257	2358	6781
258	2368	6775
259	2377	6765
260	2385	6755
261	2395	6746
262	2405	6740
263	2415	6733
264	2424	6724
265	2432	6713
266	2441	6703
267	2450	6693
268	2459	6684
269	2468	6674
270	2478	6667
271	2487	6657
272	2496	6647
273	2505	6638
274	2514	6628
275	2523	6619
276	2531	6608
277	2540	6598
278	2549	6589
279	2558	6579
280	2567	6570
281	2576	6560
282	2585	6550
283	2594	6540
284	2604	6533
285	2612	6523
286	2621	6513
287	2630	6503
288	2639	6494
289	2648	6484
290	2657	6474
291	2666	6464
292	2674	6454
293	2683	6444
294	2692	6435
295	2702	6428
296	2711	6418
297	2720	6409
298	2729	6398
299	2738	6389
300	2748	6382
301	2756	6372
302	2766	6362
303	2776	6355
304	2787	6351
305	2796	6341
306	2804	6330
307	2813	6320
308	2823	6313
309	2832	6304
310	2841	6294
311	2850	6285
312	2861	6281
313	2870	6272
314	2879	6262
315	2888	6252
316	2897	6242
317	2905	6232
318	2914	6221
319	2924	6214
320	2933	6205
321	2942	6195
322	2951	6185
323	2959	6175
324	2968	6165
325	2977	6155
326	2986	6146
327	2995	6136
328	3005	6129
329	3014	6119
330	3023	6110
331	3031	6100
332	3042	6093
333	3052	6086
334	3061	6076
335	3071	6069
336	3080	6059
337	3089	6050
338	3097	6040
339	3106	6030
340	3115	6021
341	3124	6011
342	3133	6001
343	3142	5993
344	3153	5986
345	3161	5976
346	3170	5966
347	3180	5959
348	3190	5952
349	3199	5942
350	3208	5932
351	3217	5923
352	3226	5913
353	3236	5905
354	3245	5896
355	3254	5886
356	3262	5876
357	3271	5866
358	3280	5856
359	3288	5846
360	3297	5837
361	3306	5827
362	3320	5826
363	3329	5816
364	3339	5809
365	3349	5802
366	3358	5793
367	3367	5783
368	3376	5773
369	3387	5767
370	3398	5762
371	3408	5753
372	3417	5744
373	3426	5735
374	3435	5726
375	3448	5723
376	3459	5716
377	3467	5706
378	3476	5696
379	3486	5687
380	3496	5680
381	3505	5671
382	3514	5661
383	3522	5651
384	3531	5641
385	3541	5632
386	3549	5622
387	3559	5614
388	3570	5607
389	3578	5597
390	3587	5587
391	3596	5578
392	3605	5569
393	3614	5559
394	3623	5549
395	3631	5539
396	3641	5531
397	3652	5524
398	3660	5514
399	3671	5507
400	3680	5497
401	3690	5489
402	3698	5479
403	3708	5470
404	3718	5463
405	3727	5453
406	3736	5444
407	3745	5434
408	3754	5425
409	3764	5416
410	3772	5407
411	3782	5397
412	3792	5390
413	3802	5382
414	3811	5373
415	3821	5364
416	3832	5358
417	3841	5349
418	3851	5340
419	3859	5330
420	3869	5321
421	3878	5312
422	3888	5303
423	3897	5294
424	3906	5284
425	3914	5275
426	3923	5265
427	3932	5255
428	3941	5245
429	3950	5236
430	3959	5227
431	3969	5219
432	3978	5209
433	3987	5199
434	3996	5190
435	4004	5180
436	4013	5171
437	4022	5161
438	4031	5151
439	4040	5142
440	4049	5132
441	4057	5122
442	4066	5112
443	4075	5103
444	4083	5093
445	4092	5083
446	4101	5074
447	4111	5065
448	4121	5057
449	4131	5049
450	4140	5040
451	4149	5030
452	4158	5021
453	4168	5013
454	4177	5004
455	4187	4996
456	4197	4986
457	4205	4977
458	4215	4969
459	4227	4962
460	4237	4954
461	4246	4945
462	4255	4936
463	4265	4927
464	4275	4918
465	4285	4910
466	4293	4900
467	4303	4892
468	4312	4883
469	4322	4873
470	4331	4864
471	4339	4854
472	4349	4845
473	4357	4835
474	4367	4827
475	4377	4818
476	4386	4809
477	4395	4799
478	4405	4791
479	4416	4784
480	4425	4775
481	4434	4765
482	4443	4755
483	4451	4746
484	4460	4736
485	4470	4727
486	4480	4719
487	4489	4710
488	4499	4701
489	4507	4691
490	4517	4682
491	4526	4673
492	4535	4663
493	4544	4654
494	4553	4645
495	4561	4635
496	4570	4625
497	4579	4616
498	4588	4607
499	4597	4597
500	4606	4588
501	4616	4579
502	4624	4569
503	4634	4560
504	4644	4552
505	4653	4543
506	4663	4534
507	4671	4524
508	4680	4515
509	4695	4511
510	4718	4515
511	4749	4527
512	4773	4531
513	4785	4525
514	4803	4523
515	4812	4514
516	4822	4505
517	4830	4495
518	4839	4484
519	4848	4475
520	4857	4465
521	4866	4456
522	4875	4446
523	4883	4436
524	4892	4426
525	4902	4417
526	4911	4408
527	4920	4398
528	4929	4389
529	4938	4379
530	4947	4369
531	4956	4360
532	4965	4350
533	4975	4341
534	4984	4332
535	4994	4323
536	5003	4314
537	5012	4304
538	5021	4294
539	5030	4285
540	5039	4275
541	5048	4266
542	5057	4256
543	5066	4246
544	5075	4237
545	5084	4227
546	5093	4217
547	5103	4209
548	5112	4199
549	5121	4190
550	5130	4180
551	5139	4171
552	5148	4161
553	5157	4151
554	5166	4142
555	5175	4133
556	5185	4124
557	5194	4114
558	5205	4106
559	5216	4098
560	5226	4089
561	5235	4080
562	5244	4070
563	5253	4061
564	5262	4051
565	5272	4042
566	5281	4033
567	5290	4024
568	5300	4014
569	5309	4005
570	5318	3995
571	5327	3986
572	5336	3976
573	5345	3967
574	5354	3957
575	5363	3948
576	5373	3938
577	5383	3930
578	5393	3921
579	5402	3911
580	5411	3902
581	5421	3893
582	5430	3883
583	5439	3874
584	5448	3864
585	5456	3855
586	5465	3845
587	5477	3837
588	5485	3827
589	5494	3818
590	5503	3808
591	5512	3799
592	5522	3790
593	5531	3780
594	5541	3772
595	5550	3762
596	5559	3752
597	5569	3743
598	5578	3734
599	5588	3725
600	5596	3715
601	5605	3706
602	5615	3697
603	5625	3687
604	5633	3678
605	5643	3669
606	5651	3659
607	5662	3650
608	5675	3644
609	5685	3634
610	5696	3626
611	5705	3617
612	5715	3608
613	5724	3598
614	5733	3589
615	5743	3580
616	5756	3573
617	5765	3563
618	5775	3555
619	5784	3545
620	5793	3535
621	5802	3526
622	5813	3517
623	5825	3510
624	5834	3500
625	5846	3492
626	5855	3483
627	5872	3478
